,title,id,developer,Action,Adventure,Animation &amp; Modeling,Audio Production,Casual,Design &amp; Illustration,Early Access,Education,Free to Play,Indie,Massively Multiplayer,Photo Editing,RPG,Racing,Simulation,Software Training,Sports,Strategy,Utilities,Video Production,Web Publishing,year
0,Lost Summoner Kitty,761140,Kotoshiro,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2018
1,Ironbound,643980,Secret Level SRL,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,2018
2,Real Pool 3D - Poolians,670290,Poolians.com,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2017
3,弹炸人2222,767400,彼岸领域,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
4,Battle Royale Trainer,772540,Trickjump Games Ltd,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2018
5,SNOW - All Access Pro Pass,774277,Poppermost Productions,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2018
6,SNOW - All Access Legend Pass,774278,Poppermost Productions,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2018
7,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,770380,Stegalosaurus Game Development,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2018
8,Beach Rules,768880,Copperpick Studio,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2018
9,Planetarium 2 - Zen Odyssey,765320,Ghulam Jewel,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2018
10,The first thrust of God,773650,Apillo,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2018
11,SNOW - Starter Pack,774271,Poppermost Productions,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2018
12,The first thrust of God - All Aircrafts,773690,Apillo,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2018
13,SNOW - Lifetime Pack,774279,Poppermost Productions,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2018
14,The Warrior Of Treasures,768060,Tero Lunkka,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2018
15,RC Plane 3 - Canyon Scenario,775880,FrozenPepper,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2017
16,RC Plane 3 - F-53B,775881,FrozenPepper,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2017
17,DinoBlaster,653960,Casey Labrack,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2018
18,Carmageddon Max Pack,282010,Stainless Games Ltd,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1997
19,Half-Life,70,Valve,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998
20,Fallen Mage,752360,dev4play,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2016
21,Vaporwave Simulator,766850,ETGgames,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2018
22,Bitcoin Clicker,716110,"lalalaZero,Urbanoff",0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2018
23,Disciples II: Gallean's Return,1640,Strategy First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006
24,Disciples II: Rise of the Elves,1630,Strategy First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006
25,The Ship: Murder Party,2400,Outerlight Ltd.,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2006
26,Souland,759920,Ultraint,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2017
27,TAROTICA VOO DOO,603280,TPM.CO SOFT WORKS,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2017
28,Chronicles of Vinland,753110,Wonderbox Games,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2017
